;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Déficits du RG+FSV, ONDAM à 2,4%;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;S1 / Situation nette Cades fin d'année;-93;-116.5;-139.7;-158.39999999999998;-172.89999999999998;-186.99999999999997;-200.59999999999997;-208.69999999999996;-216.19999999999996;-208.09999999999997;-197.39999999999998;;-10.55614973262032;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Scénario de suppression de la Cades (scénario tendanciel);;;;-175.7;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;2020;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0;2027.0;2028.0;2029.0;2030.0;;;;;;;;
;Déficit RG+FSV;-40.2;-35.8;-31.6;-28.6;-27.0;-26.5;-25.3;-23.5;-21.6;-19.4;-16.8;;;;;;;;
;Recettes Cades;;;;19.2;17.4;17.8;18.299999999999997;18.799999999999997;19.4;20.0;20.6;;;;;;;;
;S2 ≃/ Déficit RG+FSV (yc recettes Cades);-40.2;-35.8;-31.6;-9.400000000000002;-9.600000000000001;-8.7;-7.0000000000000036;-4.700000000000003;-2.200000000000003;0.6000000000000014;3.8000000000000007;;;;;;;;
;Reprises déficit Cades par l'Etat;;;-176.0;;;;;;;;;;;;;;;;
;S2 ≃/ Solde ACOSS pour RG;-51;-53.093999999999994;-49.69399999999999;-16.293999999999997;-25.894;-34.593999999999994;-41.593999999999994;-46.294;-48.494;-47.894;-44.093999999999994;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Scénario de suppression de la Cades (scénario Ondam à 3%);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;2020;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0;2027.0;2028.0;2029.0;2030.0;;;;;;;;
;Déficit RG+FSV;-40.2;-35.8;-31.6;-29.9;-30.7;-31.1;-32.0;-31.0;-31.9;-31.9;-30.9;;;;;;;;
;Recettes Cades;;;;19.2;17.4;17.8;18.299999999999997;18.799999999999997;19.4;20.0;20.6;;;;;;;;
;CRDS additionnelle;;;;8.058273299999998;8.243613585899997;8.433216698375697;8.627180682438336;8.825605838134416;9.028594772411507;9.236252452176972;9.448686258577041;;;;;;;;
;S2bis +/ Déficit RG+FSV (yc rec Cades + 0,5 points CRDS);-40.2;-35.8;-31.6;-2.6417267000000013;-5.056386414100004;-4.866783301624304;-5.072819317561667;-3.3743941618655864;-3.471405227588493;-2.663747547823027;-0.8513137414229561;;;;;;;;
;S2bis +/ Solde ACOSS pour RG;-51;-53.093999999999994;-49.69399999999999;-9.535726699999994;-14.592113114099998;-19.458896415724304;-24.53171573328597;-27.90610989515156;-31.37751512274005;-34.04126267056308;-34.892576411986035;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Scénario de cantonnement de la Cades (scénario médian);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;2020;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0;2027.0;2028.0;2029.0;2030.0;;;;;;;;
;Trajectoire 1/tendancielle;;;;;;;;;;;;;;;;;;;
;Déficit RG + FSV;-40.2;-35.8;-31.6;-28.6;-27.0;-26.5;-25.3;-23.5;-21.6;-19.4;-16.8;;;;;;;;
;dont repris par l'Etat;-40.2;-35.8;-16.0;;;;;;;;;;;;;;;;
;dont repris par la CADES;;;-15.599999999999994;-28.6;-27.0;-20.800000000000004;;;;;;;;;;;;;
;dont à décider;;;;;;-5.699999999999996;-25.3;-23.5;-21.6;-19.4;-16.8;;;;;;;;
